單字,讀音,中文
疲労,ひろう,疲勞
品質管理,ひんしつかんり,品質管理
貧すれば鈍する,ひんすればとんする,人窮志短，良心喪於困地
不運,ふうん,倒楣，不幸
防ぐ,ふせぐ,防止，預防
物資,ぶっし,貨物、材料
ブリキ,ぶりき,鍍錫鐵皮
分岐点,ぶんきてん,支點
分配,ぶんぱい,分配，分給
平常心,へいじょうしん,鎮定自若
方針,ほうしん,方針
補強,ほきょう,增強
保存食,ほぞんしょく,醃製食品
施す,ほどこす,施捨
冒険的,ぼうけんてき,冒險的，危險的
放る,ぽうる,放著不管
任す,まかす,託付，交給一個人
ましてや,,更不用說
招く,まねく,招手，招待
未熟,みじゅく,不成熟
未知,みち,未知
見舞う,みまう,探望，慰問，遭災，蒙受不幸
無言,むごん,沉默
名案,めいあん,好主意
明確,めいかく,明確，明了
目に見える,めにみえる,清晰的，明顯的，可見
役割,やくわり,任務，職責，作用
雇う,やとう,僱用
敗れる,やぶれる,敗北
雪メガネ,ゆきめがね,雪地護目鏡
要素,ようそ,要素，單元，元件
楽観的,らっかんてき,樂觀的，充滿希望的
臨機応変,りんきおうへん,隨機應變
禍,わざわい,災難
分岐点,分岐点,分歧點
