幸い（さいわい） 幸好、幸虧、有幸 
心構え（こころがまえ） 心理準備、心理覺悟、心態、思想準備 
クレーム 投訴、抱怨 
対応（たいおう） 對應、應付、相應 
苦情（くじょう） 不滿、投訴、抱怨 
正当な（せいとうな） 正當的 
不快な（ふかいな） 不愉快的 
滞在（たいざい） 旅居、停留 
きちんと 準確、準確、整齊 
質（しつ） 品質、質量 
評価（ひょうか） 評價 
業界（ぎょうかい） 業界 
ますます 越來越～ 
競争（きょうそう） 競爭 
企業人（きぎょうじん） 企業人士、商務人士 
自覚（じかく） 自覺、覺悟 
ビジネスバッグ 公事包 
用途（ようと） 用途、用處 
高齢者（こうれいしゃ） 老年人、高齡者 
そろう 使～齊全 
申請（しんせい） 申請 
計画（けいかく） 規劃、計劃 
実行に移す（じっこうのうつす） 進行、開始執行 
同僚（どうりょう） 同僚、同事 
接近（せっきん） 臨近、接近 
野外（やがい） 戶外 
従う（したがう） 跟從、聽從、遵循、遵守 
頼る（たよる） 依靠、藉助 
状態（じょうたい） 狀態、情況 
肩（かた） 肩、肩膀 
取引先（とりひきさき） 供應商 
頼まれる（たのまれる） 求、委託 
防げる（ふせげる） 防止、預防 
～に恵まれる（にめぐまれる） 受～眷顧、受惠於～ 
必ずしも（かならずしも） 不一定、未必 
快適な（かいてきな） 舒適的 
昨今（さっこん） 最近、近來 
就職難（しゅうしょくなん） 找不到工作 
就ける（つける） 就任～ 
限界（げんかい） 界限、局限、極限 
やりがいがある 值得做的、有價值的、有意義的 
見た目（みため） 外觀、外表 
特集（とくしゅう） 特輯、專題文章 
倒産します（とうさんします） 破產 
転ぶ（ころぶ） 跌倒 
骨折（こっせつ） 骨折 
情報管理（じょうほうかんり） 信息管理 
個人情報（こじんじょうほう） 個資 
悪用（あくよう） 濫用 
激しい（はげしい） 激烈的、猛烈的 
詐欺（さぎ） 詐欺 
悪化する（あっかする） 惡化 
訪れる（おとずれる） 訪問、拜訪、來臨 
在庫（ざいこ） 庫存 
歌手（かしゅ） 歌手 
活躍（かつやく） 活躍、積極活動 
俳優（はいゆう） 演員 
仕上げる（しあげる） 完成 
のんびり 無拘無束地 
事情（じじょう） 情形、情況、理由、緣故 
効率（こうりつ） 效率 
グラフィックデザイナー 平面設計師 
伺う（うかがう） 請教、打聽、拜訪、訪問（聞く、尋ねる、訪れる的謙讓語） 
雰囲気（ふんいき） 氣氛 
クビ 首腦 
処理（くじょうしょり） 處理、善後
申請する（しんせいする） 申請 
入国管理局（にゅうこくかんりきょく） 日本出入境管理局（＝入館（にゅうかん））
油絵（あぶらえ） 油畫
見た目（みため） 外觀、外表 
配慮する（はいりょする） 關懷、照顧、操心
甘える（あまえる） 撒嬌、接受別人的好意
およそ 凡是、一般說來、大約 
気圧（きあつ） 氣壓 
ヘクトパスカル 百帕 
付近（ふきん） 附近 
暴風域（ぼうふういき） 暴風圈 
広範囲（こうはんい） 大範圍 
沿岸（えんがん） 沿岸 
洪水（こうずい） 洪水 
明け方（あけがた） 黎明 
局地的（きょくちてき） 局部地區 
進路（しんろ） 前進的道路 
河川（かせん） 河川、河流 
増水する（ぞうすいする） 水量上漲 
中継する（ちゅうけいする） 轉播 
思い浮かべる（おもいうかべる） 想起、回憶起 
かばう 庇護、袒護、保護 
完走する（かんそうする） 跑完全程 
部署（ぶしょ） 部門 
園芸（えんげい） 園藝 
草花（くさばな） 花草 
家業（かぎょう） 家業、祖業 
励ます（はげます） 鼓勵、激勵 
電線（でんせん） 電線 
長年な（ながねんな） 很多年 
実る（みのる） 結果實、取得成果 
梅雨入りする（つゆいりする） 進入梅雨季節 
群れ（むれ） 群、群體 
中旬（ちゅうじゅん） 中旬、每個月的十一日到二十日 
レース 蕾絲、花邊 
特徴（とくちょう） 特徵 
ブラウス 女式襯衫 
不況（ふきょう） 不景氣、蕭條 
栽培する（さいばいする） 栽培 
積雪（せきせつ） 積雪 
鉄鋼（てっこう） 鋼鐵 
導入（どうにゅう） 引進 
議員（ぎいん） 國會議員 
責任が生じる（せきにんがしょうじる） 產生責任 
噴火（ふんか） 噴發、噴火 
整備（せいび） 修整、整頓、齊備 
日夜（にちや） 日夜 
土砂崩れ（どしゃくずれ） 土石流、坍方 
宅地開発（たくちかいはつ） 住宅開發 
都（みやこ） 大城市、都市 
見合わせる（みあわせる） 推遲、暫停操作、停止執行某項操作、交換眼神、互相看著 
品（しな） 物品、品質 
当機（とうき） 這架飛機 
大幅な（おおはばな） 重要的 
交通網（こうつうもう） 交通網絡 
タンカー 油船、油罐車 
流出（りゅうしゅつ） 排出 
絶滅（ぜつめつ） 滅絕、根絕 
条約（じょうやく） 條約 
急増する（きゅうぞうする） 劇增 
受注（じゅちゅう） 接受訂貨 
従業員（じゅうぎょういん） 工作人員、職工 
整う（ととのう） 端正、整齊、齊全、談成 
救助隊（きゅうじょたい） 救援隊 
財政（ざいせい） 財政 
変革（へんかく） 變改、改革 
迫る（せまる） 逼近、迫近、臨近、強迫 
議論（ぎろん） 討論、爭辯 
重ねてまいります（かさねてまいります） 以～精進（=精進して参ります） 
確信する（かくしんする） 相信 
悔い（くい） 後悔 
注意報（ちゅういほう） 警報
売り場（うりば） 販售處
遺跡（いせき） 遺跡、古跡
腕（うで） 手臂、本領
上昇する（じょうしょうする） 上升
事業活動（じぎょうかつどう） 商業行為、事業活動
回収する（かいしゅうする） 回收
電話がつながる（でんわがつながる） 接通電話
拡大する（かくだいする） 擴大
就職先（しゅうしょくさき） 工作地點 
若干名（じゃっかんめい） 若干名 
求人（きゅうじん） 招聘、招募、徵人 
健康器具（けんこうきぐ） 健康家電、保健∕健身商品 
すっかり 全部、都 
うっかり 疏忽、不小心 
赤ん坊（あかんぼう） 嬰兒、寶寶 
夜道（よみち） 夜路 
海水浴（かいすいよく） 海水浴 
休暇（きゅうか） 休假 
忘年会（ぼうねんかい） 忘年會、年終宴會 
～に追われる（におわれる） 被～追趕、被～緊逼 
実用化（じつようか） 實用化、商品化 
修復（しゅうふく） 修復、改善 
改善（かいぜん） 改善 
ヒット商品（ひっとしょうひん） 熱賣商品、暢銷貨 
年間（ねんかん） 一年之中 
有給休暇（ゆうきゅうきゅうか） 帶薪休假 
花束（はなたば） 花束 
合唱コンクール（がっしょうこんくる） 合唱比賽 
沼（ぬま） 沼澤、池塘、泥淖 
行きつけ（いきつけ） 常去的、經常光顧的 
フレックスタイム 彈性工作時間 
日中（にっちゅう） 白天、晝間 
下旬（げじゅん） 下旬 
心細い（こころぼそい） 心虛、心裡沒底、失落 
がっかりする 失望、沮喪 
サプリメント 附錄 
中古車（ちゅうこしゃ） 二手車 
下す（おろす） 放下、做決定 
こだわる 拘泥 
さんざん 拚命地、狠狠地、徹底地 
苦労（くろう） 辛苦、操心、擔心 
ゼミ 研討會 
伺う（うかがう） 請教、打聽、拜訪、訪問 
問う（とう） 問、打聽、追究 
かまう 介意 
欠航する（けっこうする） 停航、航班取消 
少数民族（しょうすうみんぞく） 少數民族 
キャビネット 櫥櫃、陳列櫃 
単位（たんい） 單位 
徹夜（てつや） 通宵、徹夜 
無駄遣いする（むだづかいする） 浪費 
消費税（しょうひぜい） 消費稅 
もうける 發財、賺錢 
機嫌（きげん） 心情、情緒、快活 
一流（いちりゅう） 一流 
眺める（ながめる） 眺望、注視 
引き受ける（ひきうける） 接受、負責、承攬
遊びまわる（あそびまわる） 七逃、整天在玩
留年する（りゅうねんする） 留級
引き上げる（ひきあげる） 提升、抬高、抬起
楽をする（らくをする） 放鬆、過得輕鬆
部外者（ぶがいしゃ） 局外人
プレゼン 介紹 
苦労（くろう） 辛苦、操心、擔心 
同期（どうき） 同期、同時、同步 
からかう 嘲弄、戲弄、開玩笑 
可哀想（かわいそう） 好可憐 
フリーマーケット 跳蚤市場 
出店（しゅってん） 開新店 
抗議する（こうぎする） 抗議 
退場する（たいじょうする） 退場 
面接（めんせつ） 會面、接見 
普段（ふだん） 平常的、 習慣的、 平常的、 每天的、 總是的 
売店（ばいてん） 小賣店、小賣部 
サボる 怠工、偷懶 
ねんざ 扭傷 
骨（ほね） 骨骼 
折れる（おれる） 折斷 
経費（けいひ） 經費 
節約する（せつやくする） 節約、節省 
日照時間（にっしょうじかん） 日照時間 
技術援助（ぎじゅつえんじょ） 技術支援、技術支持 
要請（ようせい） 請求、要求 
情けない（なさけない） 可憐、悲慘、無情、可恥 
貧しい（まずしい） 貧窮、貧苦 
批判する（ひはんする） 批判 
とんでもない 不可能的事、豈有此理、意想不到的 
誤解（ごかい） 誤解、誤會 
制限する（せいげんする） 限制 
高度な（こうどな） 高度的、先進的 
帰国する（きこくする）回國 
派手（はで） 華麗、鮮艷、假惺惺 
昼飯（ひるめし） 午飯（多為男性使用的非正式口語表達） 
春節（しゅんせつ） 春節 
表計算（ひょうけいさん） 試算表 
流行る（はやる） 流行、蔓延 
予防注射（よぼうちゅうしゃ） 預防針 
早退（そうたい） 早退 
朝一（あさいち） 一大早 
診察券（しんさつけん） 掛號憑證、門診單 
郵送する（ゆそうする） 寄送 
太枠（ふとわく） 粗框 
体験学習（たいけんがくしゅう） 在職培訓
野鳥（やちょう） 野鳥 
詰める（つめる） 裝入 
はがき 明信片 
同窓会（どうそうかい） 校友會、同學聚會 
合宿（がっしゅく） 訓練營 
価格競争（かかくきょうそう） 價格競爭 
苦境（くきょう） 苦境、困境 
悲観（ひかん） 悲觀的 
警報器（けいほうき） 報警器 
担当者（たんとうしゃ） 負責人 
被害（ひがい） 受害、受災 
とうとう 終於
売れ残る（うれのこる） 滯銷、賣剩下～
向こう（むこう） 對方（＝相手）
虫に刺される（むしにさされる）被蟲蟄、被蟲咬
世話好きな（せわずきな） 助人為樂的、愛管閒事的
おしゃれな 時尚的、時髦的
業績不振（ぎょうせきふしん） 業績低迷不振、成績不佳
指摘する（してきする） 指正、提醒
腹が減る（はらがへる） 肚子餓（多為男性使用的非正式口語表達）
おごる 請客
ヘルパー 幫手、助手
気合を入れる（きあいをいれる） 投入、傾盡全力
胸を張る（むねをはる） 趾高氣揚、得意洋洋
リラックスする 放輕鬆
援助交際（えんじょこうさい） 女學生賣淫（援交）、有償約會（付款、經濟支持等）（爸爸活）
オオカミ 狼 
家畜（かちく） 家畜 
襲う（おそう） 攻擊、襲擊 
草食（そうしょく） 草食 
防ぐ（ふせぐ） 防止、預防 
役割（やくわり） 角色、作用 
果たす（はたす） 完成、實現 
食料（しょくりょう） 食材、食物 
大型（おおがた） 大、 大規模、 大、 巨型 
植物（しょくぶつ） 植物 
与える（あたえる） 送給、授予、賜予(今多用於上對下的恩賜) 、提供、給以、予以 
ビーバー 海狸 
小動物（しょうどうぶつ） 小動物 
第三者（だいさんしゃ） 局外人、第三者 
くだらない 無聊的、無意義的 
再建（さいけん） 重建、再造 
人柄（ひとがら） 人品、人格 
適任（てきにん） 勝任的、稱職的 
リーズナブル 合理的 
対する（たいする） 對、相對、對待、對於 
病状（びょうじょう） 病情、病況 
目撃者（もくげきしゃ） 目擊者 
証言（しょうげん） 證詞、作證 
入場者（にゅうじょうしゃ） 入場者、參加者 
楽しませる（たのしませる） 逗樂、 取悅 
工夫（くふう） 竅門、辦法 
円高（えんたか） 日圓升值、日圓走強 
低迷（ていめい） 低迷、不景氣 
もたらす 帶來、造成 
要因（よういん） 主要因素、主要原因 
普及（ふきゅう） 普及 
流出（りゅうしゅつ） 洩露 
黒字（くろじ） 盈餘、賺錢、黑色的字 
赤字（あかじ） 虧損、赤字、紅色的字 
誘致する（ゆうちする） 招攬、招致 
得る（える） 取得、獲得、得到 
伸ばす（のばす） 擴展、伸展、延伸 
サツマイモ 番薯 
紅芋（べにいも） 紫肉紅薯 
並木（なみき） 成列的樹 
チンパンジー 黑猩猩 
ブドウ 葡萄 
栽培（さいばい） 栽培 
適する（てきする） 適合、適應、適於 
坂道（さかみち） 坡道 
送迎する（そうげいする） 接送 
運行する（うんこうする） 行駛 
暗算する（あんざんする） 心算 
侵入する（しんにゅうする） 入侵、侵略、闖入 
電卓（でんたく） 計算器 
独自（どくじ） 獨自、個人 
あらゆる 所有的、全部的、一切的 
世代（せだい） 世代、 一代人 
様々（さまざま） 多種多樣的、多種多樣的 
難民（なんみん） 難民 
人道的な（じんどうてきな） 人道主義的 
近隣諸国（きんりんしょこく） 鄰國 
及ばす（およなす） 波及、影響到 
側面（そくめん） 側面、旁邊 
機能的な（きのうてきな） 功能性 
失う（うしなう） 失掉、丟失、錯失 
引き取る（ひきとる） 退場、認領、取回 
自立する（じりつする） 自立、獨立 
教育（きょういく） 教育 
上司（じょうし） 上司 
豊富（ほうふ） 豐富 
耳を傾ける（みみをかたむける） 側耳傾聽、聆聽 
シェア 份額、市場占有率、分享、共有 
独占する（どくせんする） 獨占 
イメージアップ 提高聲譽、改善印象 
貢献する（こうけんする） 貢獻、奉獻 
豆腐（とうふ） 豆腐 
食品（しょくひん） 食品 
被災地（ひさいち） 災區 
支援（しえん） 支援、援助 
寄せる（よせる） 召集、聚集、靠近 
くるみ 核桃 
アーモンド 杏仁 
記憶力（きおくりょく） 記憶 
仏教（ぶっきょう） 佛教 
信仰する（しんこうする） 信仰、相信 
夜食（やしょく） 宵夜 
おかゆ 粥 
消化（しょうく） 消化 
現れる（あらわれる） 露出、顯出、出現、出場、暴露、被發現 
食生活（しょくせいかつ） 飲食生活、每天的伙食 
普及（ふきゅう） 普及 
基準（きじゅん） 基準 
経つ（たつ） 通過、失效 
優れる（すぐれる） 出色、優秀 
至る（いたる） 導致（一個地方）、到達、 來、到達、導致 
拍手（はくしゅ） 鼓掌 
学割（がくわり） 優待學生的折扣票價 
側面（そくめん） 側面、旁邊
下町（したまち） 舊區、老街、庶民區
激減する（げきげんする） 驟減、急劇減少 
徐々に（じょじょに） 慢慢的 
凶器（きょうき） 凶器 
まったく（まったく） 的確、完全 
手がかり（てがかり） 線索 
掴む（つかむ） 理解、掌握、理解、抓住 
内定（ないてい） 內定 
がっかりする 失望、沮喪、無精打采 
こだわる 講究、在意、拘泥 
統一地方選挙（とういつちほうせんきょ） 日本的地方選舉 
予測（よそく） 預測 
取り扱い（とりあつかい） 處理、管理 
細心の（さいしんの） 細心的、小心謹慎的 
払う（はらう） 支付、提醒 
学力（がくりょく） 學習實力、通過系統學習獲得的能力 
機器（きき） 機器 
多機能化（たきのうか） 多功能化 
操作（そうさ） 操縱、操作、控制、駕駛、安排、周轉 
複雑（ふくざつ） 複雜 
高層マンション（こうそうまんしょん） 高層公寓 
快適な（かいてきな） 舒適的 
植木鉢（うえきばち） 花盆 
通気性（つきせい） 通風性 
長寿（ちょうじゅ） 長壽 
喜ばしい（よろこばしい） 可喜的、令人高興的 
親しい（したしい） 親近的、親密的 
書類（しょるい） 文件、文書
実態（じったい） 實際狀態、真實情況 
義務教育（ぎむきょういく） 義務教育 
数多く（かずおおく） 數量眾多（＋の＋N） 
異常な（いじょうな） 異常、異常的 
各地（かくち） 各地 
規模（きぼ） 規模 
共生（きょうせい） 夕陽 
ますます 愈發、越～、越～、更加 
緩やかな（ゆるやかな） 緩和、緩慢、寬鬆、舒暢 
夕日（ゆうひ） 夕陽 
心がける（こころがける） 留心、注意、記在心上 
電化製品（でんかせいひん） 電器、電器 
あらゆる 所有的、全部的、一切的 
分野（ぶんや） 領域、範疇 
生活習慣病（せいかつしゅうかんびょう） 生活習慣病 
集団（しゅうだん） 集團、集體 
生かす（いかす） 有效使用、活用、(充分)發揮、施展 
大方（おおかた） 大半、大部分 
無名（むめい） 無名 
傾向（けいこ） 傾向、趨勢 
寮長（りょうちょう） 宿舍長、宿舍長 
当番（とうばん） 值班、值勤 
サボる 怠工、偷懶 
遺跡（いせき） 遺蹟、舊跡、古蹟、舊址 
発掘（はっくつ） 發掘 
古代文明（こだいぶんめい） 古文明 
灰色（はいいろ） 灰色 
独創的な（どくそうてきな） 獨創的 
郷土料理（きょうどりょうり） 地方菜、當地美食 
防犯（ぼうはん） 防止犯罪 
能率（のうりつ） 效率 
凶暴な（きょうぼうな） 凶暴的、殘暴的 
外見（がいけん） 表面、外觀、外表 
関与（かんよ） 干預、參與 
膨張する（ぼうちょうする） 膨脹、增加、擴大
ぶつかる 衝撞、碰撞
位置づけ（いちづけ） 定位價值、賦予地位
実用化する（じつようかする） 實用化、商品化
使いこなす（つかいこなす） 熟練掌握、運用自如
開票する（かいひょうする） 開箱點票、開票
意に反する（いにはんする） 反對某人的意志
店主（てんしゅ） 店主
関係者（かんけいしゃ） 相關人員
手がかり（てがかり） 線索、頭緒
捜す（さがす） 尋找、搜索
取り組み（とりくみ） 嘗試、努力、對策
順調な（じゅんちょうな） 順利的
放す（はなす） 釋放、放開
日程（にってい） 日程、活動或行程計畫 
後ほど（のちほど） 後來、最終、後來 
空腹（くうふく） 空腹、餓了 
腫れる（はれる） 腫脹 
虫歯（むしば） 蛀牙 
見合いする（みあいする） 相親 
ペンキ 油漆 
吠える（ほえる） 吼叫、咆哮 
しょっちゅう 經常、總是 
フリーズ 沒有反應、當機 
正面玄関（しょうめんげんかん） 正門玄關 
銅像（どうぞう） 銅像 
埃（ほこり） 灰塵 
くしゃみ 噴嚏 
着火（ちゃっか） 著火 
いたずらする 淘氣、惡作劇、玩弄 
ストーブ 火爐、暖爐 
粒（つぶ） ～粒、～顆 
カーブ 彎道、彎 
見通し（みとおし） 能見度 
街灯（がいとう） 路燈 
郊外（こうがい） 郊外 
騒音（そうおん） 噪音 
おしゃれ 愛打扮、愛打扮的人 
よそ 其他
ぶっ続けで（ぶっつづけて） 持續、連續
食事を抜く（しょくじをぬく） 不吃飯、餓肚子
肉じゃが（にくじゃが） 日式馬鈴薯燉肉
近いうち（ちかいうち） 近期、不久的將來
お見舞い申し上げます（おみまいもうしあげます） 深表慰問之意
被害にあう（ひがいにあう） 遭遇（災害）
校舎（こうしゃ） 校舍
各自（かくじ） 各自
少々（しょうしょう） 稍微
カウンター 櫃檯 
ラッピング 包裝
席を外す（せきをはずす） 離開座位、不在
依頼する（いらいする） 委託、拜託、請求
初心者（しょしんしゃ） 初學者 
狙う（ねらう） 瞄準、覬覦、以～為目標 
上品な（じょうひんな） 高雅的、高檔的 
崩す（くずす） 弄亂 
危うく（あやうく） 險些、幾乎 
力をふりしいぼる（ちからをふりしぼる） 竭盡全力 
心強い（こころづよい） 有把握、受鼓舞、安心 
頭に来る（あたまにくる） 非常生氣 
けちな 小氣、吝嗇 
長所（ちょうしょ） 長處、優點 
カビ 黴菌 
防ぐ（ふせぐ） 防禦、捍衛、 防止、預防 
換気（かんき） 換氣、通風 
手遅れ（ておくれ） 耽誤、爲時已晚 
ぶつかる 碰/撞在一起、衝突 
気まずく（きまずく） (關係)不融洽、難爲情 
通販（つうはん） 郵購 
騙す（だます） 欺騙 
電球（でんきゅう） 電燈泡 
飾る（かざる） 裝飾、修飾 
華やかな（はなやかな） 華麗的、盛大的、顯赫的、光鮮亮麗的 
テント 帳篷 
道路（どうろ） 道路、公路 
すっかり 整個～、全部 
混雑（こんざつ） 混雜、擁擠 
満員（まんいん） 擠滿人 
耐える（たえる）忍耐、忍受、承受 
乗客（じょうきゃく） 乘客 
路線（ろせん） 路線 
値下げ（ねさげ） 降價、減價 
大ヒット（だいひっと） 大熱門、流行項目 
好転する（こうてんする） 好轉 
早急に（さっきゅうに） 儘快、火速 
双方（そうほう） 雙方 
利害（りがい） 利害 
貿易（ぼうえき） 貿易 
容易に（よういに） 容易 
天候（てんこう） 天候、天氣 
登山（とざん） 登山、爬山 
選挙（せんきょ） 選舉 
支持者（しじしゃ） 支持者 
振られる（ふられる） 把～甩了、被甩了 
直後（ちょくご） 之後立刻、緊接著、正後面 
しっかり 堅固、結實、堅定、信得過、好好地、充分地、鎮定一下 
しつけ 教養 
悲惨な（ひさんな） 悲慘的 
痛感（つうかん） 痛感、深深地認識到 
うわさ話（うわさばなし） 流言蜚語 
豪華（ごうか） 豪華 
来客（らいきゃく） 來客 
手ごろな（てごろな） 適合的、合理的 
もうけ 利潤、賺頭 
示す（しめす） 表示、顯示 
文庫本（ぶんこぼん） 文庫本、袖珍本、小型平裝書 
うらやましい 令人羨慕/嫉妒的 
ぐいぐい 大大地、使勁地、持續地 
早食い選手権（はやぐいせんしゅけん） 大胃王競賽 
さっさと 迅速地、乾脆地 
帰り支度（かえりじたく） 回家前的準備 
早朝（そうちょう） 清晨 
閉店セール（へいてんせーる） 清倉特賣 
どっと 突然大量增加 
くわえる 叼、銜 
カーナビ 汽車導航系統 
必需品（ひつじゅひん） 必需品 
秘書（ひしょ） 祕書 
ぶつぶつ 嘟嚷、牢騷、許多顆粒狀物、雞皮疙瘩 
日々（ひび） 天天、每天
我慢強い（がまんづよい） 有毅力、忍耐力強
