單字,讀音,中文
換気,かんき,換氣，通風
環境汚染,かんきょうおせん,環境汙染
環境保護活動,かんきょうほごかつどう,
関係者,かんけいしゃ,相關人員
歓迎会,かんげいかい,歡迎會
感情,かんじょう,情感
完走する,かんそうする,跑完全程
缶詰,かんづめ,罐頭
缶詰,かんづめ,罐頭
監督,かんとく,教練，總監，導演
関与,かんよ,干預，參與
カーナビ,,汽車導航系統
カーブ,,彎道，彎
外見,がいけん,表面，外觀，外表
外資系企業,がいしけいきぎょう,外資企業
街灯,がいとう,路燈
学士,がくし,學士
学力,がくりょく,學習實力，通過系統學習獲得的能力
学割,がくわり,優待學生的折扣票價
学会,がっかい,學會
がっかりする,,失望，沮喪
がっかりする,,失望，沮喪，無精打采
合宿,がっしゅく,訓練營
合唱コンクール,がっしょうこんくる,合唱比賽
合併する,がっぺいする,合併
我慢強い,がまんづよい,有毅力，忍耐力強
眼科,がんか,眼科
願書,がんしょ,申請書，報名表
気合を入れる,きあいをいれる,投入，傾盡全力
気圧,きあつ,氣壓
記憶力,きおくりょく,記憶
気軽に,きがるに,輕鬆地，愉快地，隨意地
機器,きき,機器
企業人,きぎょうじん,企業人士，商務人士
効く,きく,有效果
機嫌,きげん,心情，情緒，快活
起源,きげん,起源
気候,きこう,氣候
帰国する,きこくする,回國
期日,きじつ,期限，日期
基準,きじゅん,基準
築く,きずく,打下，建立
規則,きそく,規則
北国,きたぐに,北國，北方
きちんと,,準確，準確，整齊
気遣い,きづかい,擔心，憂慮
機能性,きどうせい,功能性
機能,きのう,機能，作用
機能的な,きのうてきな,功能性
寄付する,きふする,捐贈，捐助，捐款
規模,きぼ,規模
気まずく,きまずく,(關係)不融洽，難爲情
決め手,きめて,做決定的人
キャビネット,,櫥櫃，陳列櫃
休暇,きゅうか,休假
休診,きゅうしん,停診
救助隊,きゅうじょたい,救援隊
求人,きゅうじん,招聘，招募，徵人
急増する,きゅうぞうする,劇增
旧友,きゅうゆう,舊友，故交
給与,きゅよ,報酬，工資，薪水
教育,きょういく,教育
凶器,きょうき,凶器
競技場,きょうぎじょう,競技場
共生,きょうせい,夕陽
競争,きょうそう,競爭
郷土料理,きょうどりょうり,地方菜，當地美食
強風,きょうふう,強風，大風，疾風
凶暴な,きょうぼうな,凶暴的，殘暴的
局地的,きょくちてき,局部地區
気楽な,きらくな,舒暢，舒適，悠閒輕鬆，無憂無慮
記録,きろく,記錄
近隣諸国,きんりんしょこく,鄰國
議員,ぎいん,國會議員
技術,ぎじゅつ,技術
技術援助,ぎじゅつえんじょ,技術支援，技術支持
犠牲にする,ぎせいにする,犧牲
義務教育,ぎむきょういく,義務教育
業界,ぎょうかい,業界
業界,ぎょうかい,業界，行業
業績,ぎょうせき,業績
業績不振,ぎょうせきふしん,業績低迷不振，成績不佳
行列,ぎょうれつ,隊伍
漁船,ぎょせん,漁船
議論,ぎろん,討論，爭辯
悔い,くい,後悔
空腹,くうふく,空腹，餓了
空腹を満たす,くうふくをみたす,填滿肚子
苦境,くきょう,苦境，困境
草花,くさばな,花草
くしゃみ,,噴嚏
苦情,くじょう,不滿，投訴，抱怨
処理,くじょうしょり,處理，善後
崩す,くずす,弄亂
くだらない,,無聊的，無意義的
下り坂,くだりさか,下坡；衰退，沒落
口答えする,くちごたえする,頂嘴
嘴,くちばし,鳥喙
口を出す,くちをだす,多嘴，插嘴
クッション,,墊子，坐墊，椅墊
国を挙げて,くにをあげて,舉國
配る,くばる,分配，分送
クビ,,首腦
クビ,,首腦
工夫,くふう,竅門，辦法
工夫,くふう,竅門，辦法，想辦法，籌劃，工人
くるみ,,核桃
クレーム,,投訴，抱怨
苦労,くろう,辛苦，操心，擔心
苦労,くろう,辛苦，操心，擔心
苦労を重ねる,くろうをかさねる,吃了很多苦，不斷受苦
黒字,くろじ,盈餘，賺錢；黑色的字
黒塗りの高級車,くろぬりのこうきゅうしゃ,黑色高級車
くわえる,,叼，銜
具,ぐ,）配料，配備食材
ぐいぐい,,大大地，使勁地；持續地
グラフィックデザイナー,,平面設計師
グローバル化する,ぐろーばるかする,全球化
経営陣,けいえいじん,管理層
計画,けいかく,規劃，計劃
契機,けいき,契機，轉機，關鍵（只能用在好的事情）
傾向,けいこ,傾向，趨勢
経済活動,けいざいかつどう,經濟活動
経済構造,けいざいこうぞう,經濟結構
経費,けいひ,經費
警備,けいび,警備，守備
警部,けいぶ,警部（日本警察職級之一）
警報器,けいほうき,報警器
契約金,けいやくきん,契約金
軽量化する,けいりょうかする,輕量化
化粧品,けしょうひん,化妝品、盥洗用品
けちな,,小氣，吝嗇
欠陥,けっかん,缺陷，缺點
欠航する,けっこうする,停航，航班取消
健康器具,けんこうきぐ,健康家電，保健∕健身商品
健康診断,けんこうしんだん,
研修,けんしゅう,進修，在職學習
研修,けんしゅう,進修，在職學習
憲章,けんしょう,憲章
激減する,げきげんする,驟減，急劇減少
下山,げざん,下山
下旬,げじゅん,下旬
限界,げんかい,界限，局限；極限
厳守,げんしゅ,嚴格遵守
減少する,げんしょうする,減少
幸運,こううん,好運，幸運
郊外,こうがい,郊外
郊外,こうがい,郊外
高級車,こうきゅうしゃ,高級車
抗議する,こうぎする,抗議
貢献する,こうけんする,貢獻，奉獻
貢献する,こうけんする,貢獻
交際する,こうさいする,交往，談戀愛
講師,こうし,講師，老師
校舎,こうしゃ,校舍
向上する,こうじょうする,提高
洪水,こうずい,洪水
高層マンション,こうそうまんしょん,高層公寓
構造,こうぞう,構造
構築,こうちく,建構
交通網,こうつうもう,交通網絡
好転する,こうてんする,好轉
高度な,こうどな,高度的，先進的
公認会計士,こうにんかいけいし,註冊會計師
広範囲,こうはんい,大範圍
幸福な,こうふくな,幸福；幸福的
効率,こうりつ,效率
高齢者,こうれいしゃ,老年人，高齡者
小型,こがた,小型
国際関係,こくさいかんけい,國際關係
国内総生産,こくないそうせいさん,GDP
心がける,こころがける,留心，注意，記在心上
心構え,こころがまえ,心理準備，心理覺悟，心態，思想準備
心構え,こころがまえ,心理覺悟，心理準備，心態
心遣い,こころづかい,關心，關照
心強い,こころづよい,有把握，受鼓舞，安心
心に響く,こころにひびく,共鳴
心に誓う,こころのちかう,由衷發誓
心細い,こころぼそい,心虛，心裡沒底，失落
試み,こころみ,嘗試
腰掛ける,こしかける,坐下
個人情報,こじんじょうほう,個資
コストパフォーマンス,,性價比，CP值
古代文明,こだいぶんめい,古文明
こだわる,,拘泥
こだわる,,講究，在意；拘泥
骨折,こっせつ,骨折
コツ,,訣竅
異なる,ことなる,不同，不一樣
混む,こむ,擠
転ぶ,ころぶ,跌倒
コンサルティング,,諮詢
混雑,こんざつ,混雜，擁擠
献立,こんだて,菜譜，菜單，準備，籌備
昆虫,こんちゅう,昆蟲
今日,こんにち,現今，這時代
豪華,ごうか,豪華
合理化,ごうりか,合理化
誤解,ごかい,誤解，誤會
語学力,ごがくりょく,語言能力
ゴテゴテ,,～過多
誤動作,ごどうさ,(機械)錯誤地運作
再建,さいけん,重建，再造
細心の,さいしんの,細心的，小心謹慎的
栽培,さいばい,栽培
栽培する,さいばいする,栽培
裁判,さいばん,裁判，審判
サイレン,,警笛
幸い,さいわい,幸好，幸虧，有幸
坂道,さかみち,坡道
逆らう,さからう,違背，違反
捜す,さがす,尋找，搜索
左記,さき,如左圖所示的...
詐欺,さぎ,詐欺
ささやく,,喃喃細語，咬耳朵
差し出す,さしだす,提出，交出，發出
幸,さち,幸福，幸運
早急に,さっきゅうに,儘快，火速
昨今,さっこん,最近，近來
さっさと,,迅速地；乾脆地
さっと,,迅速地，飛快地，一下子
サツマイモ,,番薯
砂漠,さばく,沙漠
サプリメント,,附錄
サボる,,怠工，偷懶
サボる,,怠工，偷懶
様々,さまざま,多種多樣的，多種多樣的
サミット,,高峰會
さんざん,,拚命地，狠狠地，徹底地
さんざん,,拚命地，狠狠地，徹底地
山頂,さんちょう,山頂
賛同する,さんどうする,贊成，贊同
在庫,ざいこ,庫存
財政,ざいせい,財政
仕上げる,しあげる,完成
仕入れ値,しいれね,成本價，進貨價
シェア,,份額，市場占有率；分享，共有
支援,しえん,支援，援助
資格,しかく,資格，身分
しきりに,,頻繁地，再三地，熱心，催促
支持者,しじしゃ,支持者
自然エネルギー,しぜんえねるぎー,綠色能源，可再生能源
下味をつけた〜,したあじをつけた,調味過的～
従う,したがう,跟從，聽從，遵循，遵守
親しい,したしい,親近的，親密的
親しみを込める,したしみをこめる,友善地，友好地
下取り,したどり,以舊物折價換新的
下町,したまち,舊區，老街，庶民區
しだいに,,依次，逐漸進展為～
しっかり,,堅定，堅固，好好地，充分地
しっかり,,堅固，結實，堅定，信得過，好好地，充分地，鎮定一下
質,しつ,品質，質量
しつけ,,教養
指摘する,してきする,指正，提醒
視点,してん,觀點，角度
品,しな,物品，品質
品数,しなかず,品種，樣數
品物,しなもの,物品，東西，商品，貨物
しまう,,收拾起來，收好
しみじみ,,堅決地
示す,しめす,表示，顯示
占める,しめる,占據，占有，占領
社説,しゃせつ,社論
周囲,しゅうい,周圍，環境
習慣,しゅうかん,習慣
宗教,しゅうしょう,宗教
就職活動,しゅうしょくかつどう,找工作
就職先,しゅうしょくさき,工作地點
就職難,しゅうしょくなん,找不到工作
就職率,しゅうしょくりつ,就業率
集団,しゅうだん,集團，集體
収入,しゅうにゅう,收入
就任する,しゅうにんする,就職
修復,しゅうふく,修復，改善
周辺,しゅうへん,周圍，周邊環境，附近
収容する,しゅうようする,容納，收容
主催者側,しゅさいしゃがわ,主辦單位
首相,しゅしょう,首相，內閣總理大臣
出社,しゅっしゃ,上班
出店,しゅってん,開新店
出版,しゅっぱん,出版
出費,しゅっぴ,支出，開支，開銷
出場権,しゅつじょうけん,出場權
シュノーケリング,,浮潛
春節,しゅんせつ,春節
生涯,しょうがい,生涯
消化,しょうく,消化
衝撃的な,しょうげきてきな,衝擊的，刺激的
証言,しょうげん,證詞；作證
少子高齢化,しょうしこうれいか,少子化
少々,しょうしょう,稍微
昇進,しょうしん,轉機
少数民族,しょうすうみんぞく,少數民族
招致する,しょうちする,邀請，招聘
小動物,しょうどうぶつ,小動物
消費税,しょうひぜい,消費稅
正面玄関,しょうめんげんかん,正門玄關
食事を抜く,しょくじをぬく,不吃飯，餓肚子
食生活,しょくせいかつ,飲食生活，每天的伙食
食生活,しょくせいかつ,飲食生活，每天的伙食
職場,しょくば,職場，工作的崗位，工作的場所(如辦公室等)
食品,しょくひん,食品
植物,しょくぶつ,植物
食料,しょくりょう,食物，餐費，食物原料
食料,しょくりょう,食材，食物
職歴,しょくれき,工作經歷
初心者,しょしんしゃ,初學者
しょっちゅう,,經常，總是
所定,しょてい,指定
署名,しょめい,署名，簽字
書類,しょるい,
書類審査,しょるいしんさ,書面資料審查
白髪,しらが,白頭髮
進化する,しんかする,進化
進学先,しんがくさき,升學目標
シングル,,單人房
親権,しんけん,父母監護權
信仰する,しんこうする,信仰；相信
深刻,しんこく,嚴重
診察券,しんさつけん,掛號憑證，門診單
診察室,しんさつしつ,診療室
申請,しんせい,申請
申請する,しんせいする,申請
侵入する,しんにゅうする,入侵，侵略，闖入
シンポジウム,,研討會
深夜,しんや,深夜，半夜
診療所,しんりょうじょ,診療所
進路,しんろ,前進的道路
ジ,,
自覚,じかく,自覺，覺悟
時間がたつ,じかんがたつ,(時間)經過
事業活動,じぎょうかつどう,商業行為，事業活動
持参する,じさんする,攜帶，隨身攜帶
自主制作,じしゅせいさく,自行製作，自產
事情,じじょう,情形，情況，理由，緣故
自炊,じすい,自己開伙
事態,じたい,事態
実行に移す,じっこうのうつす,進行，開始執行
実績,じっせき,業績，成績
実態,じったい,實際狀態，真實情況
実用化,じつようか,實用化，商品化
実用化する,じつようかする,實用化，商品化
若干名,じゃっかんめい,若干名
ジャンル,,風格，類型，流派，種類
従業員,じゅうぎょういん,職員
従業員,じゅうぎょういん,工作人員，職工
重視する,じゅうしする,重視
柔道,じゅうどう,柔道
重労働,じゅうろうどう,重勞力工作，重活
受験生,じゅけんせい,考生
受賞する,じゅしょうする,獲獎
受注,じゅちゅう,接受訂貨
循環,じゅんかん,循環，重複
順調な,じゅんちょうな,順利的
乗客,じょうきゃく,乘客
上司,じょうし,上司
上昇する,じょうしょうする,上升
状態,じょうたい,狀態，情況
上達する,じょうたつする,提升
上品な,じょうひんな,高雅的，高檔的
情報管理,じょうほうかんり,信息管理
条約,じょうやく,條約
徐々に,じょじょに,慢慢的
徐々に,じょじょに,慢慢地，徐徐地，漸漸地，逐步地
自立する,じりつする,自立，獨立
人件費,じんけんひ,工錢，人事費
人道的な,じんどうてきな,人道主義的
水準,すいじゅん,水準，水平
優れる,すぐれる,卓越，優秀，出色
優れる,すぐれる,出色，優秀
勧める,すすめる,券，勸誘，敦促
すっかり,,全部，都
すっかり,,整個...，全部
すっかり,,全部，都
すっきり,,舒暢，輕鬆，流暢，整潔
スッキリする,,簡潔
ストーブ,,火爐，暖爐
スパイス,,香料
スピードが出る,すぴーどがでる,加速
おしゃれ,する,時尚，時髦；（追隨）潮流
鋭い爪,するどいつめ,尖銳的爪子
晴雨,せいう,晴天或雨天
生活習慣病,せいかつしゅうかんびょう,生活習慣病
制限する,せいげんする,限制
精神力,せいしんりょく,精神力，意志力
正当な,せいとうな,正當的
整備,せいび,修整，整頓，齊備
積雪,せきせつ,積雪
責任が生じる,せきにんがしょうじる,產生責任
席を外す,せきをはずす,離開座位，不在
世代,せだい,世代，一代人
接近,せっきん,臨近，接近
せっせと,,一個勁地，拚命地
節約する,せつやくする,節約，節省
迫る,せまる,逼近，迫近，臨近，強迫
世話好きな,せわずきな,助人為樂的；愛管閒事的
選挙,せんきょ,選舉
先進国,せんしんこく,發達國家，先進國家
千羽鶴,せんばづる,千紙鶴
専門医,せんもんい,醫學專家
税金,ぜいきん,稅，稅金
絶滅,ぜつめつ,滅絕，根絕
是非,ぜひ,是非對錯
ゼミ,,研討會
総意,そうい,共識
騒音,そうおん,噪音
送迎する,そうげいする,接送
総合,そうごう,綜合
捜査,そうさ,搜查
操作,そうさ,操縱，操作，控制，駕駛，安排，周轉
草食,そうしょく,草食
早退,そうたい,早退
早朝,そうちょう,清晨
相当,そうとう,相當於，適當，相稱
双方,そうほう,雙方
側面,そくめん,側面，旁邊
側面,そくめん,側面，旁邊
側面,そくめん,側面
祖父母,そふぼ,祖父母，外祖父母
粗末,そまつ,不重視，粗糙
そろう,,使...齊全
損害,そんがい,損害
増水する,ぞうすいする,水量上漲
対応,たいおう,對應，應付，相應
体験学習,たいけんがくしゅう,
滞在,たいざい,旅居，停留
たいした～じゃない,,不是什麼大不了的～，不那麼～
退場する,たいじょうする,退場
対する,たいする,對，相對，對待，對於
耐える,たえる,忍耐，忍受，承受
高まる,たかまる,升高，高漲
多機能化,たきのうか,多功能化
宅地開発,たくちかいはつ,住宅開發
多数,たすう,多數
たずねる,,尋，找，尋求，問，打聽
経つ,たつ,通過，失效
楽しませる,たのしませる,逗樂,取悅
頼まれる,たのまれる,求，委託
頼る,たよる,依靠，藉助
単位,たんい,單位
タンカー,,油船，油罐車
担当者,たんとうしゃ,負責人
第三者,だいさんしゃ,局外人，第三者
代替,だいたい,代替
大ヒット,だいひっと,大熱門，流行項目
抱き上げる,だきあげる,抱起，抱著舉起
脱線,だっせん,出軌，脫軌，離題，脫離常規
脱サラする,だつさらする,辭去正式工作而自己獨立做生意
ダブル,,有一張雙人床的雙人房
騙す,だます,欺騙
男女共学,だんじょきょうがく,男女同校
地域ぐるみ,ちいきぐるみ,某地的全域
近いうち,ちかいうち,近期，不久的將來
力を尽くす,ちからをつくす,盡全力
力をふりしいぼる,ちからをふりしぼる,竭盡全力
地形,ちけい,地形
ちっとも～ない,,完全不∕沒～
着火,ちゃっか,著火
注意報,ちゅういほう,警報
中継する,ちゅうけいする,轉播
中古車,ちゅうこしゃ,二手車
抽象,ちゅうしょう,抽象
中小企業,ちゅうしょうきぎょう,中小企業（SMEs）
中旬,ちゅうじゅん,中旬，每個月的十一日到二十日
中途半端,ちゅうとはんぱ,半途而廢
注目を浴びる,ちゅうもくをあびる,受萬眾矚目
昼夜,ちゅうや,晝夜
調子,ちょうし,情況，狀態，勁
長所,ちょうしょ,長處，優點
長寿,ちょうじゅ,長壽
貯金額,ちょきんがく,存款金額
直後,ちょくご,之後立刻，緊接著；正後面
直接店頭,ちょくせつてんとう,
チョモランマ,,珠穆朗瑪峰
治療費,ちりょうひ,醫療費
賃金,ちんぎん,工資；租金
チンパンジー,,黑猩猩
ツイン,,有兩張單人床的雙人房
痛感,つうかん,痛感，深深地認識到
通信販売,つうしんはんばい,郵購，網購
通販,つうはん,郵購
使いこなす,つかいこなす,熟練掌握，運用自如
遣う,つかう,注意，小心，留意
掴む,つかむ,理解，掌握，理解，抓住
突き当り,つきあたり,道路的盡頭
通気性,つきせい,通風性
就ける,つける,就任...
告げる,つげる,告知，通報
綱,つな,粗繩，繩索
粒,つぶ,～粒，～顆
ツボマッサージ,,穴位按摩
詰める,つめる,裝入
梅雨入りする,つゆいりする,進入梅雨季節
強まる,つよまる,變強
手当て,てあて,津貼(薪水以外)
抵抗する,ていこうする,抵抗
低迷,ていめい,低迷，不景氣
手遅れ,ておくれ,耽誤，爲時已晚
手がかり,てがかり,線索
手がかり,てがかり,線索，頭緒
手がつけられない,てがつけられない,無計可施，沒辦法
適する,てきする,適合，適應，適於
適正に,てきせいに,適當地，公平地，合理地
適切,てきせつ,適當，恰當
適任,てきにん,勝任的，稱職的
手ごろな,てごろな,適合的，合理的
鉄鋼,てっこう,鋼鐵
鉄分,てつぶん,鐵質
徹夜,てつや,通宵，徹夜
手本,てほん,榜樣，模範；字帖，畫帖
手渡す,てわたす,遞交，親手交給，當面交給
手を引く,てをひく,收手，退出
点検,てんけん,檢查
天候,てんこう,天候，天氣
店主,てんしゅ,店主
天職,てんしょく,天職，神聖的職責
電子レンジ,てんしれんじ,微波爐
テント,,帳篷
出来事,できごと,事件，變故
電化製品,でんかせいひん,電器，電器
電球,でんきゅう,電燈泡
電線,でんせん,電線
電卓,でんたく,計算器
伝統芸能,でんとうげいのう,傳統藝術
電話がつながる,でんわがつながる,接通電話
問いかける,といかける,詢問，打聽
問う,とう,問，打聽，追究
統一地方選挙,とういつちほうせんきょ,日本的地方選舉
当機,とうき,這架飛機
倒産します,とうさんします,破產
投書する,とうしょする,投稿；投書
とうとう,,終於
当番,とうばん,值班，值勤
豆腐,とうふ,豆腐
溶き卵,ときたまご,打散的蛋
特集,とくしゅう,特輯，專題文章
特徴,とくちょう,特徵
得点,とくてん,得分，分數
登山,とざん,登山，爬山
閉じこもる,とじこもる,閉門不出
とっくに,,早就，很早以前
トップレベル,,最高級別，高峰
整う,ととのう,端正，整齊，齊全，談成
トビ,,老鷹
戸惑い,とまどい,束手無策，不知如何是好
戸惑う,とまどう,猶豫，不知所措，不知如何是好
取り扱い,とりあつかい,治療、服務、處理、管理
取り扱い,とりあつかい,處理、管理
取り組み,とりくみ,嘗試，努力，對策
取引先,とりひきさき,供應商
取引先,とりひきさき,供應商
トリプル,,三人房
とんでもない,,不可能的事，豈有此理，意想不到的
同期,どうき,同期，同時，同步
同窓会,どうそうかい,校友會、同學聚會
銅像,どうぞう,銅像
導入,どうにゅう,引進
同僚,どうりょう,同僚，同事
道路,どうろ,道路，公路
独自,どくじ,獨自，個人
独自の,どくじの,獨創的，特色的
独占する,どくせんする,獨占
独創的な,どくそうてきな,獨創的
土砂崩れ,どしゃくずれ,土石流，坍方
どっと,,突然大量增加
泥だらけ,どろだらけ,
内定,ないてい,內定
長年な,ながねんな,很多年
眺める,ながめる,眺望，注視
流れ,ながれ,流行；流程，流向
和やかな,なごやかな,平靜的
情けない,なさけない,可憐，悲慘；無情，可恥
なだれ込む,なだれこむ,蜂擁而上
納得する,なっとくする,認同，認可；理解，領會
納得する,なっとくする,認可，理解
何しろ,なにしろ,反正，總之
並木,なみき,成列的樹
慣れ親しむ,なれしたしむ,熟識，親近
難民,なんみん,難民
にきび,,痘痘，粉刺，痤瘡
肉じゃが,にくじゃが,日式馬鈴薯燉肉
偽物,にせもの,山寨品，假貨
日夜,にちや,日夜
日課,にっか,每天要做的工作
日照時間,にっしょうじかん,日照時間
日中,にっちゅう,白天，晝間
日程,にってい,日程，活動或行程計畫
荷物運び,にもつはこび,搬運工
入荷,にゅうか,進貨；到貨
入国管理局,にゅうこくかんりきょく,日本出入境管理局（＝入館（にゅうかん））
入場者,にゅうじょうしゃ,入場者，參加者
にらみつける,,瞪眼，怒目而視
抜いていく,ぬいていく,
盗む,ぬすむ,偷偷地做
沼,ぬま,沼澤，池塘，泥淖
値下げ,ねさげ,降價，減價
ネズミ捕り,ねずみとり,捕鼠器
狙う,ねらう,瞄準，覬覦；以…為目標
年間,ねんかん,一年之中
年賀状,ねんがじょう,新年賀卡
ねんざ,,扭傷
納期,のうき,交貨期，繳納期
農業,のうぎょう,農業
農村,のうそん,農村
能率,のうりつ,效率
後ほど,のちほど,後來，最終，後來
伸ばす,のばす,擴展，伸展，延伸
載る,のる,刊載，刊登
ノロウイルス,,諾羅病毒，腸胃型流感
