樽（たる） 木桶、桶 
行列（ぎょうれつ） 行列、隊列、矩陣 
包装紙（ほうそうし） 包裝紙 
湿度（しつど） 濕度 
零細企業（れいさいきぎょう） 小型企業、小公司 
自負する（じふする） 自負、自滿 
雑草（ざっそう） 雜草 
壮大な（そうだいな） 宏大、雄壯 
傑作（けっさく） 傑作 
扱い（あつかい） 使用、操作、操縱 
相次ぐ（あいつぐ） 相繼發生、接連不斷 
未だに（いまだに） 仍然、即使現在、直到今天 
避難所（ひなんじょ） 避難所 
削減（さくげん） 削減 
税金（ぜいきん） 稅金 
無駄な（むだな） 無用的、無意義的 
牧場（ぼくじょう） 牧場 
羊（ひつじ） 羊 
群れ（むれ） 群 
柵（さく） 柵欄 
お節介（おせっかい） 愛管閒事、多嘴多舌 
競争（きょうそう） 競爭、競賽 
外科（げか） 外科 
広告（こうこく） 廣告 
議案（ぎあん） 會議提出的討論案、議案 
相続（そうぞく） 繼承、繼任 
協議（きょうぎ） 協議、磋商 
その旨（そのむね） 這樣的意思、這樣的事情（指前述的內容）
団結（だんけつ） 團結 
一丸（いちがん） 一個整體、一團、集中在一起 
強盗（ごうとう） 搶劫、盜竊 
物種（ものだね） 起源、基本要素 
難病（なんびょう） 難治之症、疑難雜症 
一助（いちじょ） 一點幫助、一臂之力 
矛盾（むじゅん） 矛盾 
ひきつける 著迷、吸引、吸引 
菜園（さいえん） 菜園 
原油（げんゆ） 原油 
マイホーム 自家 
気の毒（きのどく） 感到可憐、悲慘 
視聴率（しちょうりつ） 收視率 
漁師（りょうし） 漁夫、漁民 
一昨年（いっさくねん） 前年 
巣立つ（すだつ） 畢業 
いかなる 任何一種 
増員（ぞういん） 增加人員
補助（ほじょ） 補助
労働者（ろうどうしゃ） 勞動者、勞工
病状（びょうじょう） 病情、症狀
休職（きゅうしょく） 停職
実績（じっせき） 業績、成績、實戰成果
不用意（ふようい） 不謹慎、不小心
閉鎖（へいさ） 封閉、關閉
不適切ば（ふてきせつ） 不恰當的、不適宜的
海面上昇（かいめんじょうしょう） 海平面上升
移住（いじゅう） 移居
再編成（さいへんせい） 重編、重組
海外移転（かいがいいてん） 移居海外
粒（つぶ） 顆、粒
軽んじる（かろんじる） 輕視、蔑視
協議（きょうぎ） 協議、磋商
負傷する（ふしょうする） 負傷、受傷
控え（ひかえ） 副本、存根、候補、預備
抑える（おさえる） 壓抑（情感）
けち 小氣、吝嗇 
怠ける（なまける） 懶惰、怠惰 
たいそう 很、非常 
ほこり 塵土、灰塵 
お嫁さん（およめさん） 媳婦、妻子 
気立て（きだて） 性情、性格 
見違える（みちがえる） 看錯、煥然一新 
ホイッスル 口哨、哨子 
泥（どろ） 泥、泥巴 
健闘（けんとう） 奮鬥、頑強鬥爭 
たたえる（たたえる） 裝滿、充滿 
脱出する（だっしゅつする） 出逃、逃脫、逃亡 
押し入れ（おしいれ） 壁櫥、壁櫃 
しわ 皺紋、褶皺 
再三（さいさん） 再三、屢次 
引きとめる（ひきとめる） 阻止、挽回、叫回 
携える（たずさえる） 攜帶、帶領、攜手、協同 
サークル 小組、俱樂部 
のめり込む（のめりこむ） 完全沉迷於（某事） 
一群（いちぐん） 一群、一窩 
冷ややかな（ひややかな） 冷淡的、冷漠的、冷靜的、冷的 
進言（しんげん） 建言、建議 
額（がく） 前額、數量、框 
証拠（しょうこ） 證據、證明 
司会（しかい） 司儀 
方々で（ほうぼうで） 到處、這裡那裡 
詐欺（さぎ） 詐欺 
解雇する（かいこする） 解雇、開除 
あきれる（あきれる） 吃驚、震驚、厭惡 
息抜き（いきぬき） 稍作休息、喘口氣 
昇進（しょうしん） 晉升、晉級 
所持（しょじ） 所持、所有、攜帶 
定評がある（ていひょうがある） 有定論、有公論 
手口（てぐち） 手法、方法、手段 
かつ 並且，而且
繊細（せんさい） 纖細、柔嫩、細緻 
扇風機（せんぶうき） 風扇、電扇 
異例（いれい） 破格、破例 
自慢話（じまんばなし） 得意的話、吹牛、炫耀 
一苦労（ひとくろう） 費一些力氣、操一些心 
炊く（たく） 煮飯、燒飯 
ご無沙汰（ごぶさた） 好久不見、久違 
お詫び（おわび） 致歉、賠罪 
内気（うちき） 羞怯、膽怯、靦腆 
無口（むくち） 沉默寡言、不愛說話 
警部（けいぶ） 警部（日本警察職級之一） 
片手（かたて） 單手 
発砲する（はっぽうする） （開）槍、（開）炮 
器（うつわ） 容器、器皿 
たちまち 突然、馬上、瞬間 
カボチャ 南瓜 
箱詰め（はこづめ） 裝箱、裝盒 
出荷する（しゅっかする） 出貨、發貨 
積極的な（せっきょくてきな） 積極的
品薄（しなうす） 缺貨、庫存不足 
盲目（もうもく） 盲目 
調べ（しらべ） 調子、曲調 
聴衆（ちょうしゅう） 聽眾 
異様な（いような） 奇怪、怪異 
アトリエ 攝影棚、攝影室 
こもる 閉門不出、隱居 
復元（ふくげん） 復原、恢復原狀 
草むら（くさむら） 草叢 
サンマ 秋刀魚 
小麦粉（こむぎこ） 麵粉、小麥粉
ボウル 大碗、烹飪用的大器皿
ひっくり返す（ひっくりかえす） 翻倒、翻過來、顛倒 
粉（こな） 粉、粉末
担架（たんか） 擔架
借金（しゃっきん） 債、借款 
売り上げ（うりあげ） 銷售額
幼い（おさない）  幼小、年幼
断定（だんてい） 斷定、判定
願書（がんしょ） 志願書、申請書
消印（けしいん） 郵戳
ルーズ  散漫、吊兒郎當
口癖（くちぐせ） 口頭禪
おごり 請客、招待
寝返りを打つ（ねがえりをうつ） 睡著翻身
給料日（きゅうりょうび） 發薪日
再開する（さいかいする） 再開始、重新進行、恢復
釜（かま） 鍋
握り飯（にぎりめし） 飯糰
むしゃむしゃと食べる（むしゃむしゃとたべる） 狼吞虎嚥地吃、大口大口吃
悲鳴（ひめい） 悲鳴、慘叫
ぎらぎら光る（ぎらぎらひかる）  閃閃地（發光）
妖怪（ようかい） 妖怪、妖精
出産（しゅっさんする） 生育、出生、生（孩子）
祈願（きがん） 祈禱
難解（なんかい） 費解、難以理解
眺め（ながめ） 景色、風景、景致
なだれ込む（なだれこむ）  蜂擁而上
刀（かたな） 刀、武士刀
唱える（となえる）  吟唱 
鐘（かね） 鈴、鐘、鐘聲
馬車（ばしゃ） 馬車
待ち構える（まちかまえる） 等候、等待
散らかす（ちらかす） 亂扔、弄得亂七八糟
シーンとする 一片寂靜的樣子
静まり返る（しずまりかえる）鴉雀無聲、萬籟俱寂
一気に（いっきに） 一口氣地、不停地
一人前（いちにんまえ） 獨立、獨當一面、一人份 
待遇（たいぐう） 待遇、薪資報酬、接待、服務 
指示を仰ぐ（しじをあおぐ） 請求指示 
総理大臣（そうりだいじん） 總理 
言動（げんどう） 言行 
一見（いっけん） 乍看、一瞥 
目立つ（めたつ） 醒目、注目、顯眼 
宗教（しゅうきょう） 宗教 
コマーシャル 商業的、商業廣告 
高額（こうがく） 大筆（金錢） 
少子化（しょうしか） 少子化 
晩婚化（ばんこんか） 晚婚化 
教育費（きょういくひ） 教育或學校費用 
塩分（えんぶん） 鹽分 
引用する（いんようする） 引用 
著作権（ちょさくけん） 著作權 
配慮する（はいりょする） 關懷、照顧、操心 
ウォーターカッター 水刀、水刀切割機 
構造（こうぞう） 構造、結構 
条例（じょうれい） 條例 
科かせられる（かかせられる） 被罰、被判處 
保全する（ほぜんする） 保全 
次期（じき） 下期～、下屆～ 
有事（ゆうじ） 緊急情況 
ベテラン 專家、老手、老練的人 
一時（いっとき） 一時、某時 
気晴らしい（きばらしい） 消愁解悶、散心、消遣 
定着（ていちゃく） 安定、固定、附著、定居 
凝視（ぎょうし） 凝視、注視 
緻密（ちみつ） 細緻、細膩、周密 
面倒見（めんどうみ） 照顧別人、關照他人 
直接（ちょくせつ） 直接 
周囲（しゅうい） 周圍、四周 
積極的な（せっきょくてきな） 積極的
遠方（えんぽう） 遠方、遠處 
改めて（あらたて） 重新、再 
世論（よろん） 世論、輿論 
回避する（かいひする） 回避、避開 
延期（えんき） 延期 
情勢（じょうせい） 形勢 
空っぽ（からっぽ） 空的、空洞的 
テント 帳篷 
リハビリ 復健、機能恢復訓練 
銅（どう） 銅 
柄（がら） 花紋、圖案、花樣 
浮世絵（うきよえ） 浮世繪 
脳梗塞（のうこうそく） 中風、腦梗塞 
担保（たんぽ） 擔保、抵押 
融資（ゆうし） 融資 
図る（はかる） 謀求 
整う（ととのう） 端正、整齊 
納入（のうにゅう） 繳納、上繳 
管理職（かんりしょく） 管理人員 
部署（ぶしょ） 部署、工作崗位 
余暇（よか） 餘暇、業餘時間 
役職（やくしょく） 職務 
前向き（まえむき） 向前看、積極的、進步的(態度) 
定着（ていちゃく） 定居 
嘆く（なげく） 嘆氣、嘆息、 悲傷、氣憤 
気楽な（きらくな） 無憂無慮、舒適、舒暢、輕鬆
迅速に（じんそくに） 迅速地
欠ける（かける） 缺少～、缺乏～
実績（じっせき） 業績、成績、實戰成果
渡り鳥（わたりどり） 候鳥
真実味（しんじつみ） 真情實感、栩栩如生、感覺是真的
思いやり（おもいやり） 關懷、體諒、顧念、思念
了承する（りょうしょうする） 理解、同意、諒解
陰の（かげの） 背地裡、暗中
奪う（うばう） 奪、搶奪、剝奪 
宿直（しゅくちょく） 值班 
居眠り（いねむり） 瞌睡、打盹 
取調室（とりしらべしつ） 偵訊室 
間が抜けている（まがぬけている） 愚蠢、糊塗、疏忽大意、馬虎 
くぐりぬける（くぐりぬける） 逃過、通過 
酷（こく） 非常、嚴重、殘酷 
砂漠（さばく） 沙漠 
物足りない（ものたりない） 不夠完美、有缺陷、不過癮 
慰め（なぐさめ） 安慰、慰藉 
盗む（ぬすむ） 偷、偷偷地做 
情けない（なさけない） 可憐、可嘆 
庶民感覚（しょみんかんかく） 民眾感受、普遍感受 
分析（ぶんせき） 研究、分析 
論旨（ろんし） 論點、議論的主旨 
さなか 正當、在高潮中 
サーフイン 衝浪 
無茶（むちゃ） 毫無道理、離譜、亂來 
無謀な（むぼうな） 無謀、胡亂的、魯莽的 
ルーズ 散漫、吊兒郎當 
大らか（おおらか） 落落大方、豁達、胸襟開闊 
だらしない 懶散、不拘小節、自由散漫、不檢點 
手頃（てごろ） 合適 
エスカレートする 逐步上升、逐步升級 
人気（ひとけ） 人氣 
いたずら 淘氣、惡作劇 
甥（おい） 外甥、外甥女、侄子、侄女 
患者（かんじゃ） 患者、病人 
放っておく（ほうっておく） 放一邊、暫且擱置 
善意（ぜんい） 善意 
寄付金（きふきん） 捐款 
着服する（ちゃくふくする） 貪汙、侵占、穿著 
無灯火（むとうか） 無燈火、不點燈火 
物を知らない（ものをしらない） 無知的 
図々しい（ずうずうしい） 厚顏無恥的、厚臉皮 
洗練（せんれん） 試煉、精煉、高尚講究 
欠陥（けっかん） 缺陷、欠缺 
ずさんな 粗糙、不細緻的、杜撰、胡亂編造 
公（おおやけ） 公開、公共、公眾 
緊迫する（きんぱくする） 緊張、緊迫、緊急 
匿名（とくめい） 匿名 
訴える（うったえる） 起訴、控告 
過信（かしん） 過於相信 
怒鳴る（どなる） 大聲喊叫、怒駡 
群がる（むらがる） 聚集、聚 
人件費（じんけんひ） 人工費、人事成本 
抑える（おさえる） 控制、抑制、阻止、防止 
いっそのこと 而是、更快、最好 
公表（こうひょう） 公布、發表 
廃棄処分（はいきしょぶん） 廢除、廢棄 
正体（しょうたい） 原形、真面目、本尊 
ダンプカー 自動卸貨卡車 
通る（とおる） 走過、通過 
誰彼なし（だれかれなし） 任何人、不分你我、無論誰 
気軽に（きがるに） 隨心所欲地、欣然地、愉快地 
散乱する（さんらんする） 散亂、凌亂 
扱う（あつかう） 處理、對待、經銷、操作 
腰（こし） 腰 
浅い（あさい） 淺、淡、膚淺 
手入れ（ていれ） 維修、修整 
低俗（ていぞく） 低俗 
稚拙（ちせつ） 幼稚且拙劣 
強行採決（きょうこうさいけつ） 強行表決 
乱闘騒ぎ（らんとうさわぎ） 混亂騷動 
近頃（ちかごろ） 最近、現在 
下請け（したうけ） 承包、轉包 
零細企業（れいさいきぎょう） 小型企業、小公司 
寄る（よる） 靠近、接近 
転覆する（てんぷくする） 顛覆、翻轉、推翻 
余儀なくされる（よぎなくされる） 被迫 
自覚（じかく） 自覺、自知、醒悟 
言いふらす（いいふらす） 散布、傳播、宣揚 
瞬時に（しゅんじに） 瞬時間 
備える（そなえる） 配備、備有
消火器（しょうかき） 滅火器 
項目（こうもく） 項目 
知れ渡る（しれわたる） 出名
生意気（なまいき） 傲慢、自大 
車庫（しゃこ） 車庫
原稿（げんこう） 原稿
支援（しえん） 支援、後援、援助
混雑（こんざつ） 混雜、混亂
殺人的な（さつじんてきな） 要人命的、～得要命
ラッシュアワー 交通尖峰時刻
かゆみ 癢、瘙癢
不愉快（ふゆかい） 不愉快 
通訳（つうやく） 口譯
必死（ひっし） 拚命
舟（ふね） 船、小舟
言い返す（いいかえす） 回嘴、頂嘴
つぶれる 倒閉、破產
軒並み（のきなみ） 緊接並排、家家戶戶、一律、全都
捕まる（つかまる） 被捕、被逮住、抓住
正視（せいし） 正視、正眼看
人目も構わず（ひとめもかまわず） 不在乎別人的目光
ビリ 最後、末尾、倒數第一
社交的な（しゃこうてきな） 喜歡交際的、善於交際的
バレる 敗露
使い道（つかいみち） 用途
取り調べ（とりしらべ） 調查、偵訊
解雇（かいこ） 解雇、開除 
～の手前（のてまえ） ～眼前、靠近自己這邊
裏目に出る（うらめにでる） 適得其反、事與願違
抑える（おさえる） 控制、抑制、壓制
人件費（じんけんひ） 人工費、人事成本
誠意（せいい） 誠意
連中（れんちゅう） 同伴、同夥、成員們
流出する（りゅうしゅつする） 流出、外流
運送業者（うんそうぎょうしゃ） 運輸業者、物流業者
仏像（ぶつぞう） 佛像
国宝級（こくほうきゅう） 國寶級
ヒットする 大受歡迎、熱銷
指摘する（してきする） 指正、指謫
従業員（じゅうぎょういん） 工作人員、作業員
誤字（ごじ） 錯字
脱字（だつじ） 漏字、掉字
腐らせる（くさらせる） 使～腐爛
視点（してん） 觀點、視角
親不孝（おやふこう） 不孝、不孝順
苦労する（くろうする） 操勞、吃苦、操心
引き返す（ひきかえす） 返回、折回
さぼる 缺勤、曠工、曠課
めちゃくちゃ 亂七八糟、雜亂無章、荒唐、胡鬧
堂々と（どうどうと） 坦然地、堂堂地、光明正大地
落書き（らくがき） 塗鴉、亂塗亂畫
今一つ（いまひとつ） 不完美、有缺陷
オアシス 綠洲
警備（けいび） 警衛、警備、警戒
見出し（みだし） 標題、題目、索引
社会面（しゃかいめん） 社會版
倉庫（そうこ） 倉庫 
相棒（あいぼう） 夥伴、搭檔 
職務範囲（しょくむはんい） 職務範圍 
行方不明（ゆくえふめい） 行蹤不明、失蹤 
つぶれる 變得無用、停止運作、被浪費 
殺虫剤（さっちゅうざい） 殺蟲劑 
容疑者（ようぎしゃ） 嫌疑犯 
大幅に（おおはばに） 大幅地 
削減する（さくげんする） 削減 
五分咲き（ごぶざき） 花開半滿、含苞待放 
粗悪な（そあくな） 低劣、壞、差 
悪徳業者（あくとくぎょうしゃ） 不道德業者 
要する（ようする） 需要、必要 
余命（よめい） 殘年、餘生 
案外（あんがい） 意想不到、出乎意外 
ショートケーキ 脆餅 
愚痴（ぐち） 無謂的抱怨、抱怨 
事なかれ主義（ことなかれしゅぎ） 消極主義、不求有功但求無過 
避ける（さける） 躲避、避開 
逃れる（のがれる） 逃跑、逃脫 
負う（おう） 擔負、承擔 
消極的な（しょうきょくてきな） 消極的、保守的 
汚い（きたない） 骯髒、不乾淨、卑鄙、 吝嗇 
不祥事（ふしょうじ） 醜聞、不好的事情
各地（かくち） 各地
接待（せったい） 接待、招待
肩がこる（かたがこる） 肩膀酸痛
見頃（みごろ） 正值觀賞時期、正好看的時候
時給（じきゅう） 時薪、計時工資
人件費（じんけんひ） 人工費、人事成本
生産（せいさんライン） 生產線
現場（げんば） 現場
従う（したがう）  跟從、聽從、遵循、遵守
復帰（ふっき） 恢復、復原、重回
静養（せいよう） 靜養
飛躍的に（ひやくてきに） 跳躍性地
衛生（えいせい） 衛生
外す（はずす） 取下、脫掉 
激励（げきれい） 激勵、鼓勵 
感激（かんげき） 感激、感動 
恐縮（きょうしゅく） 不好意思、過意不去 
多忙（たぼう） 百忙 
割く（さく） 撥出、騰出（時間） 
至急（しきゅう） 緊急、火速、趕快 
権威（けんい） 權威、威信 
就任（しゅうにん） 就任、就職 
席上（せきじょう） 座位上、會議上、宴會上 
かくも 如此 
盛大な（せいだいな） 盛大的、隆重的、宏大的 
若気の至り（わかげのいたり） 因為太年輕而犯下的失誤 
長らく（ながらく） 好久、長時間 
山菜（さんさい） 山菜、野菜 
人影（ひとかげ） 人影、人形 
尽力（じんりょく） 幫忙、協助、盡力、努力 
賜り（たまわり） 承蒙賞賜、會賜 
念願（ねんがん） 心願、願望 
整える（ととのえる） 整理、整頓 
値する（あたいする） 值得 
腹立たしい（はらだたしい）
心細い（こころぼそい） 孤單不安、心裡沒底 
頼もしい（たのもしい） 可靠的、靠得住的 
情けない（なさけない） 可悲、令人遺憾、悲慘 
初級（しょきゅう） 初級 
務まる（つとまる） 擔任～職務：扮演～角色 
素人（しろうと） 外行、門外漢、業餘愛好者、良家婦女、新人 
応募（おうぼ） 應招、應徵 
はがき 明信片 
早春（そうしゅん） 初春、早春 
朝夕（あさゆう） 從早到晚、從早到晚、不斷地 
肌寒い（はだざむい） 覺得有點冷 
木々（きぎ） 每棵樹、許多樹、各種樹 
すがすがしい 清爽、輕快、振奮、清新 
本学（ほんがく） 這所大學、這所教育機構 
去る（さる） 離開 
しめくくり 結論、結束、完成、總結 
脅かす（おびやかす） 威脅。嚇唬 
～に値する（にあたいする） 值得～、有～價值
正々堂々と（せいせいどうどう） 堂堂正正地、光明正大地
お悔み（おくやみ）慰問、哀悼
～の念（のねん） ～的心情、～的想法
ぐずぐず 慢吞吞、磨蹭 
先方（せんぽう）對方 
絶好（ぜっこう） 絕佳、最好 
南極（なんきょく） 南極 
折れる（おれる） 折斷 
墜落する（ついらくする） 墜落 
急降下する（きゅうこうかする） 急速下降 
破たん（はたん） 失敗、破裂 
そろえる 安排、整理、準備、收集、聚集、完成 
内緒（ないしょ） 祕密 
こじれる 複雜化、惡化 
不信（ふしん） 不信任 
名誉（めいよ） 名譽 
疑問（ぎもん） 質問、疑問 
詰め寄る（つめよる） 向某人施壓、靠近 
アポを取る（あぽをとる） 約定、敲定時間 
片っ端から（かたっぱしから） 依次、一個一個地 
パンフレット 手冊 
リース料（りーすりょう） 租金 
立ち直り（たちなおり） 復原、恢復、好轉 
吸い殻（すいがら） 菸蒂、菸灰 
眼下（がんか） 眼前俯瞰的一切 
やけになる 自暴自棄 
無実（むじつ） 非事實、無根據 
頑固な（がんこな） 頑固的、固執的 
儲ける（もうける） 賺錢、賺 
公言（こうげん） 聲言、公開說 
没頭する（ぼっとうする） 埋頭、專心致志 
源（みなもと） 發生、來源、源頭、起因、根源 
復帰する（ふっきする） 回歸、歸來
リハビリ 復健訓練、機能恢復訓練
大した差（たいしたさ） 很大的不同
大家（おおや） 房東
～に訴える（にうったえる） 訴訟、控告～
継ぐ（つぐ） 繼承
用件（ようけん） 工作上的事情
就く（つく） 到達（地位）、就任（職位）
フリーズする 當機
～盛り（さかり） 最～的時候、～全盛時
奴（やつ） 傢伙（輕蔑對方的說法。也用於親暱稱呼晚輩時）
お遣い（おつかい） 差使 
異界（いかい） 異世界 
物心がつく（ものごころがつく） 懂事、懂得人情世故、指過了幼兒期以後開始理解人情世故 
修行（しゅぎょう） 修行 
～ずくめ 整個都是～、全身～ 
赤ん坊（あかんぼう） 嬰兒 
失い（うしない） 失掉、丟失、錯過、喪失、死亡 
繰り広げる（くりひろげる） 展開、進行 
川面（かわも） 河面 
関係を築く（かんけいをきずく） 建立關係 
知人（ちじん） 熟人、認識的人 
端（はし） 端、頭、邊緣 
匂いが漂う（においがただよう） 瀰漫、味道飄散 
志望校（しぼうこう） 志願學校 
幽霊（ゆうれい） 幽靈 
めっきり 顯著、急劇 
仏陀（ぶっだ） 佛陀 
非凡な（ひぼんな） 非凡的 
発揮する（はっきする） 發揮 
手品（てじな） 戲法、欺騙手法、技倆 
見事な（みごとな） 難得的、精彩的、卓越的 
お供の人（おとものひと） 隨從 
墓（はか） 墳墓 
埋める（うめる） 埋 
オンデマンド 根據需求提供的相應服務 
内部告発（ないぶこくはつ） 內部檢舉 
自ら（みずから） 自己、親自 
良心（りょうしん） 良心 
激流（げきりゅう） 激流 
カヌー 獨木舟 
度重なる（たびかさなる） 反覆、接二連三 
帰還する（きかんする） 歸還、返還 
予備校（よびこう） 補習學校 
振興（しんこう） 振興 
力を注ぐ（ちからをそそぐ） 傾注全力 
陶芸家（とうげいか） 陶藝家 
育児（いくじ） 育兒 
飼育する（しいくする） 餵養、飼養 
商工会議所（しょうこうかいぎしょ） 工商會議所 
繁殖（はんしょく） 繁殖 
～に励む（にはげむ） 努力～、刻苦～ 
果樹園（かじゅえん） 果樹園 
営む（いたなむ） 經營、辦、做 
襲う（おそう） 突然前去、襲擊 
まつわる 盤繞、跟隨 
執筆（しっぴつ） 執筆 
息詰まる（いきづまる） 令人窒息、令人窒息 
カーチェイス 追車 
見逃せない（みのがせない） 漏掉、錯過機會、放過、放跑、饒恕 
人権（じんけん） 人權 
表彰する（ひょうしょうする） 表彰 
懐（ふところ） 懷裡、胸懷 
小鬼（こおに） 小鬼 
ギラリとした光（きらりとしたひかり） 光芒一閃 
じっと 固定地、專心地、耐心地、堅忍地、不動 
楽園（らくえん） 樂園 
薄紙（うすがみ） 薄紙 
透ける（すける） 透出、看見、透明 
下した（おろした） 降、落 
左右（さゆう） 左右、支配 
黙々と（もくもくと） 默不出聲地 
生涯（しょうがい） 生涯 
とかく 總是、動不動就 
作り話（つくりばなし） 虛構的故事 
美談（びだん） 美談、令人欽佩的故事 
暴く（あばく） 揭發、揭露、敗露 
脅迫（きょうはく） 脅迫、威脅 
札束（さつたば） 一疊鈔票 
偽札（にせさつ） 假幣、假錢 
総立ち（そうだち） 全體一起站起來 
アリ 螞蟻 
もったいない 可惜、過分、不敢當 
敢えて（あえて） 敢、敢於 
方便（ほうべん） 權宜之計 
大金（たいきん） 巨款 
湯水のごとく使う（ゆみずのごとくつかう） ～如流水 
貧乏（びんぼう） 貧窮、困苦、貧苦 
遺書（いしょ） 遺書 
記す（しるす） 記錄 
取り組む（とりくむ） 努力於～、致力於～ 
光陰矢のごとし（こういんやのごとし） 光陰似箭 
薙ぎ払う（なぎはらう） （用刀刃等）飛砍、橫砍 
威張る（いばる） 擺架子、自吹自擂 
振る舞う（ふるまう） 行動、擺出～樣子 
小心者（しょうしんもの） 膽小鬼、小心謹慎的人 
老いる（おいる） 老、年老、上年紀 
後（のち） ～過後 
現れ（あらわれ） 露出、顯出 
魅了する（みりょうする） 使～入迷 
塀（へい） 圍牆、牆 
志（こころざし） 志向、志願、意圖
半ば（なかば） 中間、半途、一半 
不惑（ふわく） 四十歲 
無念（むねん） 遺憾、懊惱 
不気味な（ぶきみな） 令人害怕的、令人不寒而慄的 
一顧（いっこ） 一看、一眼 
消費（しょうひ） 消費 
抑える（おさえる） 控制、抑制、阻止、防止 
微動（びどう） 微小動作、略微移動 
含む（ふくむ） 含有、懷有 
一存（いちぞん） 自己個人的意見 
雪深い（ゆきぶかい） 白雪皚皚、被厚厚的雪覆蓋 
相応しい（ふさわしい） 適合、相稱 
とうてい 到底、無法～ 
離れ離れ（はなればなれ） 分離、四散 
さっぱり 乾淨、利落 
芽生える（めばえる） 發芽 
屈す（くっす） 制服、壓制、屈服、畏縮 
炎（ほのお） 火焰 
あえぐ 受苦、掙扎、喘氣、用力呼吸 
贅沢（ぜいたく） 奢侈 
刑罰（けいばつ） 刑罰 
公約（こうやく） 諾言、許諾 
掲げる（かかげる） 懸掛、升起、登載、揭示 
片隅（かたすみ） 角落、一隅 
