心得（こころえ） 素養，經驗 
参画（さんか） 參與籌劃 
発揮（はっき） 發揮 
組織論（そしきろん） 組織理論 
徹底（てってい） 徹底，透徹 
品質管理（ひんしつかんり） 品質管理 
集団（しゅうだん） 集團，集體 
攻撃隊（こうげきたい） 特攻隊，突擊隊 
条件（じょうけん） 條件 
いきさつ 経緯，原委，來龍去脈 
補強（ほきょう） 增強 
ソリ 雪橇 
積む（つむ） 積累 
ぎごちなさ 不靈活，生硬，不通順 
心身（しんしん） 身心 
燃料（ねんりょう） 燃料 
テント 帳篷，天篷，布棚 
居住（きょじゅう） 居住 
目に見える（めにみえる） 清晰的，明顯的，可見 
人情（にんじょう） 人情 
水兵（すいへい） 水兵，海軍士兵 
衰え（おとろえ） 衰弱，衰落 
犯す（おかす） 犯錯 
運搬（うんぱん） 搬運，運載 
主力（しゅりょく） 主要力量，主力 
何らか（なんらか） 一些，某種 
未熟（みじゅく） 不成熟 
そもそも 最初，根本 
統計（とうけい） 統計 
第一種の過誤（だいいっしゅのかご） 第一類錯誤 
戒める（いましめる） 勸戒，懲戒， 告戒 
慎む（つつしむ） 謹慎，小心，節制 
雪上車（せつじょうしゃ） 雪地拖拉機，雪地車 
非難する（ひなんする） 非難，譴責 
万事（ばんじ） 萬事，諸事 
中途半場（ちゅうとはんば） 半途而廢 
食糧（しょくりょう） 糧食 
脂肪（しぼう） 脂肪，油脂 
小麦粉（こむぎこ） 麵粉 
固める（かためる） 鞏固，集中 
保存食（ほぞんしょく） 醃製食品 
欠ける（かける） 不足，欠缺 
挙げだす（あげだす） 列出 
敗因（はいいん） 失敗的原因 
判断（はんだん） 判斷 
ちょっとした 相當多 
うっかり 無意中，不留神 
工夫（くふう） 竅門，辦法 
デポ（でぽ） 倉庫 
物資（ぶっし） 貨物、材料 
行程（こうてい） 行程 
欠乏（けつぼう） 缺乏 
打撃（だげき） 衝擊，刺激 
凍傷（とうしょう） 凍傷 
惨事（さんじ） 慘案 
ブリキ（ぶりき） 鍍錫鐵皮 
口金（くちがね） 蓋子 
防ぐ（ふせぐ） 防止，預防 
たびたび 經常，一次又一次 
促す（うながす） 催促，促進 
仕込む（しこむ） 教育，訓練 
真剣さ（しんけんさ） 認真，一絲不苟 
未知（みち） 未知 
暗やみ（くらやみ） 漆黑，黑暗 
ましてや 更不用說 
つのらせる 越發地 
苦労（くろう） 操心，擔心 
失わせる（うしなわせる） 失掉，丟失 
いかなる 無論 
楽観的（らっかんてき） 樂觀的，充滿希望的 
信仰心（しんこうしん） 虔誠 
柔軟な（じゅうなんな） 柔軟，靈活 
対処する（たいしょする） 應付，處理 
浮かす（うかす） 浮現 
啓示（けいじ） 啟示 
甲板（かんぱん） 甲板 
苦境（くきょう） 困境 
知恵（ちえ） 智慧，主意 
授かる（さずかる） 領受，獲得 
構える（かまえる） 做出...的架勢 
無言（むごん） 沉默 
一丸（いちがん） 成為一體 
嬉々として（ききとして） 快活的，快樂的，興高采烈的 
先を越される（さきをこされる） 被超前 
恐ろしい（おそろしい） 可怕的 
のぞく 窺視 
狂わせる（くるわせる） 發瘋 
下す（くだす） 下命令 
初代（しょだい） 第一代 
創業主（そうぎょうぬし） 創始人 
雇う（やとう） 僱用 
手探り（てさぐり） 摸索 
冒険的（ぼうけんてき） 冒險的，危險的 
探検的（たんけんてき） 探索性的 
要素（ようそ） 要素，單元，元件 
望まねば（のぞまねば） 仰望，景仰 
指針（ししん） 方針，指南 
あたかも 有如～
